"","resight_date","survey_num","resight_loc","breeding_status_observed","unique.id","year","month","YR_1","Region"
"1",2015-04-03,"2","Lake Okeechobee","N","R _ BLK_59C_V","2015","04",2014,"OKEE"
"2",2019-04-24,"3","SJM","N","R _ BLK_59C_V","2019","04",2014,"SJM"
"3",2015-04-25,"3","Lake Okeechobee","N","R _ BLK_12A_V","2015","04",2014,"OKEE"
"4",2020-05-14,"4","Lake Kissimmee","N","R _ BLK_12A_V","2020","05",2014,"KRV"
"5",2022-03-15,"1","Paynes Prairie","N","R _ BLK_12A_V","2022","03",2014,"PP"
"6",2015-04-07,"2","Lake Hatchineha","B","R _ BLK_72D_V","2015","04",2014,"KRV"
"7",2016-04-26,"3","Lake Istokpoga","B","R _ BLK_77D_V","2016","04",2014,"KRV"
"8",2016-05-18,"4","Lake Istokpoga","B","R _ BLK_77D_V","2016","05",2014,"KRV"
"9",2016-06-30,"6","Lake Istokpoga","N","R _ BLK_77D_V","2016","06",2014,"KRV"
"10",2015-03-07,"1","STA5","N","R _ BLK_67D_V","2015","03",2014,"EVER"
"11",2015-06-18,"6","STA5","N","R _ BLK_67D_V","2015","06",2014,"EVER"
"12",2018-06-27,"6","Lake Okeechobee","N","R _ BLK_67D_V","2018","06",2014,"OKEE"
"13",2019-03-08,"1","Lake Okeechobee","N","R _ BLK_67D_V","2019","03",2014,"OKEE"
"14",2019-06-18,"6","WCA 3A","N","R _ BLK_67D_V","2019","06",2014,"EVER"
"15",2015-05-16,"4","Lake Okeechobee","N","R _ BLK_77A_V","2015","05",2014,"OKEE"
"16",2016-04-02,"2","Lake Okeechobee","B","R _ BLK_77A_V","2016","04",2014,"OKEE"
"17",2016-04-24,"3","Lake Okeechobee","N","R _ BLK_77A_V","2016","04",2014,"OKEE"
"18",2016-06-10,"5","Lake Kissimmee","B","R _ BLK_77A_V","2016","06",2014,"KRV"
"19",2019-03-08,"1","Lake Okeechobee","N","R _ BLK_77A_V","2019","03",2014,"OKEE"
"20",2020-03-16,"1","Lake Kissimmee","N","R _ BLK_77A_V","2020","03",2014,"KRV"
"21",2020-04-27,"3","Lake Kissimmee","N","R _ BLK_77A_V","2020","04",2014,"KRV"
"22",2020-05-14,"4","Lake Kissimmee","N","R _ BLK_77A_V","2020","05",2014,"KRV"
"23",2022-04-20,"3","Lake Okeechobee","N","R _ BLK_77A_V","2022","04",2014,"OKEE"
"24",2022-05-11,"4","Lake Okeechobee","N","R _ BLK_77A_V","2022","05",2014,"OKEE"
"25",2022-06-01,"5","Lake Okeechobee","N","R _ BLK_77A_V","2022","06",2014,"OKEE"
"26",2023-05-16,"4","Paynes Prairie","N","R _ BLK_89C_V","2023","05",2014,"PP"
"27",2015-06-26,"6","Mary A Mitigation Bank","N","R _ BLK_99D_V","2015","06",2014,"SJM"
"28",2016-03-13,"1","Lake Istokpoga","N","R _ BLK_99D_V","2016","03",2014,"KRV"
"29",2016-04-04,"2","Lake Istokpoga","N","R _ BLK_99D_V","2016","04",2014,"KRV"
"30",2016-06-27,"6","Kissimmee Restoration Area","B","R _ BLK_99D_V","2016","06",2014,"KRV"
"31",2015-04-07,"2","Lake Hatchineha","N","R _ BLK_81A_V","2015","04",2014,"KRV"
"32",2016-03-16,"1","Lake Kissimmee","B","R _ BLK_81A_V","2016","03",2014,"KRV"
"33",2016-06-09,"5","Mary A Mitigation Bank","N","R _ BLK_81A_V","2016","06",2014,"SJM"
"34",2016-07-01,"6","Mary A Mitigation Bank","N","R _ BLK_81A_V","2016","07",2014,"SJM"
"35",2017-04-05,"2","Lake Kissimmee","N","R _ BLK_81A_V","2017","04",2014,"KRV"
"36",2017-06-06,"5","Lake Kissimmee","N","R _ BLK_81A_V","2017","06",2014,"KRV"
"37",2018-04-06,"2","Lake Kissimmee","B","R _ BLK_81A_V","2018","04",2014,"KRV"
"38",2018-05-18,"4","Lake Kissimmee","B","R _ BLK_81A_V","2018","05",2014,"KRV"
"39",2018-06-12,"5","Lake Kissimmee","B","R _ BLK_81A_V","2018","06",2014,"KRV"
"40",2019-03-15,"1","Lake Kissimmee","N","R _ BLK_81A_V","2019","03",2014,"KRV"
"41",2019-04-05,"2","Lake Kissimmee","B","R _ BLK_81A_V","2019","04",2014,"KRV"
"42",2019-06-10,"5","Lake Kissimmee","N","R _ BLK_81A_V","2019","06",2014,"KRV"
"43",2020-03-16,"1","Lake Kissimmee","N","R _ BLK_81A_V","2020","03",2014,"KRV"
"44",2020-04-05,"2","Lake Kissimmee","N","R _ BLK_81A_V","2020","04",2014,"KRV"
"45",2020-04-27,"3","Lake Kissimmee","N","R _ BLK_81A_V","2020","04",2014,"KRV"
"46",2021-05-20,"4","Lake Kissimmee","N","R _ BLK_81A_V","2021","05",2014,"KRV"
"47",2016-05-20,"4","Lake Hatchineha","N","R _ BLK_41D_V","2016","05",2014,"KRV"
"48",2016-06-09,"5","Lake Hatchineha","B","R _ BLK_41D_V","2016","06",2014,"KRV"
"49",2017-05-16,"4","Lake Tohopekaliga","N","R _ BLK_41D_V","2017","05",2014,"KRV"
"50",2017-06-07,"5","Lake Tohopekaliga","N","R _ BLK_41D_V","2017","06",2014,"KRV"
"51",2018-05-21,"4","SJM","N","R _ BLK_41D_V","2018","05",2014,"SJM"
"52",2018-06-30,"6","SJM","N","R _ BLK_41D_V","2018","06",2014,"SJM"
"53",2019-04-24,"3","SJM","N","R _ BLK_41D_V","2019","04",2014,"SJM"
"54",2019-06-06,"5","SJM","N","R _ BLK_41D_V","2019","06",2014,"SJM"
"55",2020-04-06,"2","Lake Tohopekaliga","N","R _ BLK_41D_V","2020","04",2014,"KRV"
"56",2020-05-14,"4","Lake Kissimmee","N","R _ BLK_41D_V","2020","05",2014,"KRV"
"57",2021-05-18,"4","Lake Tohopekaliga","N","R _ BLK_41D_V","2021","05",2014,"KRV"
"58",2021-06-08,"5","Lake Tohopekaliga","B","R _ BLK_41D_V","2021","06",2014,"KRV"
"59",2015-04-08,"2","Lake Kissimmee","N","R _ BLK_42D_V","2015","04",2014,"KRV"
"60",2015-04-29,"3","Lake Kissimmee","N","R _ BLK_42D_V","2015","04",2014,"KRV"
"61",2016-04-07,"2","Lake Kissimmee","N","R _ BLK_42D_V","2016","04",2014,"KRV"
"62",2016-05-01,"3","Lake Runnymede","B","R _ BLK_42D_V","2016","05",2014,"KRV"
"63",2016-05-23,"4","Lake Runnymede","N","R _ BLK_42D_V","2016","05",2014,"KRV"
"64",2016-06-12,"5","Lake Runnymede","B","R _ BLK_42D_V","2016","06",2014,"KRV"
"65",2016-07-05,"6","Lake Runnymede","N","R _ BLK_42D_V","2016","07",2014,"KRV"
"66",2017-03-15,"1","Lake Kissimmee","N","R _ BLK_42D_V","2017","03",2014,"KRV"
"67",2018-03-15,"1","Lake Kissimmee","N","R _ BLK_42D_V","2018","03",2014,"KRV"
"68",2018-04-06,"2","Lake Kissimmee","N","R _ BLK_42D_V","2018","04",2014,"KRV"
"69",2019-03-15,"1","Lake Kissimmee","N","R _ BLK_42D_V","2019","03",2014,"KRV"
"70",2019-04-05,"2","Lake Kissimmee","B","R _ BLK_42D_V","2019","04",2014,"KRV"
"71",2019-04-27,"3","Lake Kissimmee","B","R _ BLK_42D_V","2019","04",2014,"KRV"
"72",2019-05-19,"4","Lake Kissimmee","B","R _ BLK_42D_V","2019","05",2014,"KRV"
"73",2019-05-09,"4","Grassy Waters Preserve","N","R _ BLK_37D_V","2019","05",2014,"EAST"
"74",2019-05-29,"5","Grassy Waters Preserve","N","R _ BLK_37D_V","2019","05",2014,"EAST"
"75",2019-06-20,"6","Grassy Waters Preserve","N","R _ BLK_37D_V","2019","06",2014,"EAST"
"76",2016-03-18,"1","Lake Runnymede","N","R _ BLK_48C_V","2016","03",2014,"KRV"
"77",2017-06-06,"5","Lake Kissimmee","N","R _ BLK_48C_V","2017","06",2014,"KRV"
"78",2017-06-26,"6","SJM","N","R _ BLK_48C_V","2017","06",2014,"SJM"
"79",2019-03-15,"1","Lake Kissimmee","B","R _ BLK_48C_V","2019","03",2014,"KRV"
"80",2019-04-05,"2","Lake Kissimmee","B","R _ BLK_48C_V","2019","04",2014,"KRV"
"81",2019-05-16,"4","SJM","N","R _ BLK_48C_V","2019","05",2014,"SJM"
"82",2015-04-29,"3","Lake Kissimmee","N","R _ BLK_12C_V","2015","04",2014,"KRV"
"83",2015-05-19,"4","Lake Kissimmee","N","R _ BLK_12C_V","2015","05",2014,"KRV"
"84",2015-06-07,"5","Lake Kissimmee","N","R _ BLK_12C_V","2015","06",2014,"KRV"
"85",2016-06-28,"6","Lake Okeechobee","N","R _ BLK_12C_V","2016","06",2014,"OKEE"
"86",2017-04-05,"2","Lake Kissimmee","N","R _ BLK_12C_V","2017","04",2014,"KRV"
"87",2017-04-28,"3","Lake Kissimmee","N","R _ BLK_12C_V","2017","04",2014,"KRV"
"88",2017-06-06,"5","Lake Kissimmee","N","R _ BLK_12C_V","2017","06",2014,"KRV"
"89",2017-06-28,"6","Lake Kissimmee","N","R _ BLK_12C_V","2017","06",2014,"KRV"
"90",2018-05-18,"4","Lake Kissimmee","N","R _ BLK_12C_V","2018","05",2014,"KRV"
"91",2018-06-27,"6","Lake Okeechobee","B","R _ BLK_12C_V","2018","06",2014,"OKEE"
"92",2015-06-06,"5","Mary A Mitigation Bank","B","R _ BLK_54D_V","2015","06",2014,"SJM"
"93",2015-06-26,"6","Mary A Mitigation Bank","B","R _ BLK_54D_V","2015","06",2014,"SJM"
"94",2017-06-06,"5","Lake Kissimmee","N","R _ BLK_54D_V","2017","06",2014,"KRV"
"95",2019-03-08,"1","Lake Okeechobee","N","R _ BLK_54D_V","2019","03",2014,"OKEE"
"96",2019-06-06,"5","SJM","B","R _ BLK_54D_V","2019","06",2014,"SJM"
"97",2019-06-27,"6","SJM","N","R _ BLK_54D_V","2019","06",2014,"SJM"
"98",2017-04-19,"3","Lake Okeechobee","N","R _ BLK_55D_V","2017","04",2014,"OKEE"
"99",2016-05-17,"4","Lake Okeechobee","N","R _ BLK_89D_V","2016","05",2014,"OKEE"
"100",2017-04-19,"3","Lake Okeechobee","N","R _ BLK_89D_V","2017","04",2014,"OKEE"
"101",2017-06-28,"6","Lake Kissimmee","N","R _ BLK_89D_V","2017","06",2014,"KRV"
"102",2018-03-08,"1","Lake Okeechobee","B","R _ BLK_89D_V","2018","03",2014,"OKEE"
"103",2018-03-31,"2","Lake Okeechobee","B","R _ BLK_89D_V","2018","03",2014,"OKEE"
"104",2018-04-24,"3","Lake Okeechobee","N","R _ BLK_89D_V","2018","04",2014,"OKEE"
"105",2018-05-16,"4","Lake Okeechobee","N","R _ BLK_89D_V","2018","05",2014,"OKEE"
"106",2017-03-15,"1","Lake Kissimmee","N","R _ BLK_84D_V","2017","03",2014,"KRV"
"107",2020-04-02,"2","SJM","N","R _ BLK_84D_V","2020","04",2014,"SJM"
"108",2020-04-23,"3","SJM","N","R _ BLK_84D_V","2020","04",2014,"SJM"
"109",2020-05-11,"4","SJM","N","R _ BLK_84D_V","2020","05",2014,"SJM"
"110",2018-04-16,"3","WCA 3A","N","R _ BLK_93C_V","2018","04",2014,"EVER"
"111",2018-05-30,"5","WCA 3A","B","R _ BLK_93C_V","2018","05",2014,"EVER"
"112",2019-03-03,"1","WCA 3A","N","R _ BLK_93C_V","2019","03",2014,"EVER"
"113",2019-05-26,"5","WCA 3A","N","R _ BLK_93C_V","2019","05",2014,"EVER"
"114",2017-03-04,"1","Grassy Waters Preserve","N","R _ BLK_36C_V","2017","03",2014,"EAST"
"115",2017-03-05,"1","Grassy Waters Preserve","N","R _ BLK_36C_V","2017","03",2014,"EAST"
"116",2017-03-27,"2","WCA 3A","N","R _ BLK_16C_V","2017","03",2014,"EVER"
"117",2017-04-14,"3","WCA 3A","N","R _ BLK_16C_V","2017","04",2014,"EVER"
"118",2019-03-03,"1","WCA 3A","B","R _ BLK_16C_V","2019","03",2014,"EVER"
"119",2019-04-14,"3","WCA 3A","B","R _ BLK_16C_V","2019","04",2014,"EVER"
"120",2015-03-05,"1","Loxahatchee NWR","N","R _ BLK_3OC_V","2015","03",2014,"EVER"
"121",2017-03-29,"2","Grassy Waters Preserve","N","R _ BLK_3OC_V","2017","03",2014,"EAST"
"122",2018-06-19,"6","WCA 3A","B","R _ BLK_3OC_V","2018","06",2014,"EVER"
"123",2019-03-02,"1","WCA 3A","N","R _ BLK_3OC_V","2019","03",2014,"EVER"
"124",2019-06-17,"6","WCA 3A","N","R _ BLK_3OC_V","2019","06",2014,"EVER"
"125",2015-03-17,"1","Lake Kissimmee","N","R _ BLK_52A_V","2015","03",2014,"KRV"
"126",2016-03-13,"1","Lake Istokpoga","B","R _ BLK_52A_V","2016","03",2014,"KRV"
