MU,spei,age_cat,inv.cat,mean,se,Nindiv,sd
EAST,Drought,A,No,0,0,23,0
EAST,Drought,A,Yes,NA,NA,NA,NA
EAST,Drought,J,No,NA,NA,NA,NA
EAST,Drought,J,Yes,NA,NA,NA,NA
EAST,Normal,A,No,0.346250534,0.166422491,83,1.516181049
EAST,Normal,A,Yes,0.643182913,0.054502426,86,0.505434706
EAST,Normal,J,No,0.4994,0.35443584,3,0.613900884
EAST,Normal,J,Yes,0.428497297,0.241889759,12,0.837930706
EAST,Wet,A,No,0,0,2,0
EAST,Wet,A,Yes,0.998285602,0.001396509,14,0.00522526
EAST,Wet,J,No,1,0,1,0
EAST,Wet,J,Yes,0,0,1,0
EVER,Drought,A,No,0,0,87,0
EVER,Drought,A,Yes,0.737189424,0.048417458,85,0.446386904
EVER,Drought,J,No,0,0,1,0
EVER,Drought,J,Yes,0.093788525,0.077100612,28,0.407978091
EVER,Normal,A,No,0.449475751,0.074738826,883,2.22088784
EVER,Normal,A,Yes,0.853463565,0.076968066,374,1.48849156
EVER,Normal,J,No,0.302581872,0.159556077,86,1.479662183
EVER,Normal,J,Yes,0.109195632,0.057093069,75,0.494440484
EVER,Wet,A,No,0.913020594,0.060136371,20,0.268938029
EVER,Wet,A,Yes,1,0,57,0
EVER,Wet,J,No,0.194942085,0.136042634,9,0.408127902
EVER,Wet,J,Yes,0,0,2,0
KRV,Drought,A,No,0.540003098,0.159153915,55,1.180317027
KRV,Drought,A,Yes,0.942741134,0.026653198,108,0.276988164
KRV,Drought,J,No,NA,NA,NA,NA
KRV,Drought,J,Yes,0.204003032,0.085863537,67,0.702823339
KRV,Normal,A,No,0.585233831,0.127762095,152,1.575156899
KRV,Normal,A,Yes,0.886402289,0.04130559,3567,2.466950184
KRV,Normal,J,No,0,0,19,0
KRV,Normal,J,Yes,0.234668356,0.074008418,650,1.886851846
KRV,Wet,A,No,0.588080993,0.183305602,17,0.755788357
KRV,Wet,A,Yes,0.989397689,0.008284232,29,0.044611952
KRV,Wet,J,No,0,0,2,0
KRV,Wet,J,Yes,NA,NA,NA,NA
OKEE,Drought,A,No,NA,NA,NA,NA
OKEE,Drought,A,Yes,0.833962838,0.144157458,28,0.762809566
OKEE,Drought,J,No,NA,NA,NA,NA
OKEE,Drought,J,Yes,0.165137763,0.082823409,31,0.461141224
OKEE,Normal,A,No,0.362118689,0.165192464,133,1.905092435
OKEE,Normal,A,Yes,0.707023436,0.07725411,834,2.231025922
OKEE,Normal,J,No,0,0,5,0
OKEE,Normal,J,Yes,0.14634431,0.046929747,185,0.638313573
OKEE,Wet,A,No,0.375900901,0.26909488,21,1.233147657
OKEE,Wet,A,Yes,0.643867518,0.103559947,116,1.115374765
OKEE,Wet,J,No,0,0,5,0
OKEE,Wet,J,Yes,NA,NA,NA,NA
PP,Drought,A,No,NA,NA,NA,NA
PP,Drought,A,Yes,NA,NA,NA,NA
PP,Drought,J,No,NA,NA,NA,NA
PP,Drought,J,Yes,NA,NA,NA,NA
PP,Normal,A,No,NA,NA,NA,NA
PP,Normal,A,Yes,0.67428783,0.13532818,171,1.769645588
PP,Normal,J,No,NA,NA,NA,NA
PP,Normal,J,Yes,0.086786415,0.049093532,104,0.500657757
PP,Wet,A,No,NA,NA,NA,NA
PP,Wet,A,Yes,NA,NA,NA,NA
PP,Wet,J,No,NA,NA,NA,NA
PP,Wet,J,Yes,NA,NA,NA,NA
SJM,Drought,A,No,0,0,16,0
SJM,Drought,A,Yes,NA,NA,NA,NA
SJM,Drought,J,No,NA,NA,NA,NA
SJM,Drought,J,Yes,NA,NA,NA,NA
SJM,Normal,A,No,0.605004239,0.109653464,151,1.347444325
SJM,Normal,A,Yes,0.821133457,0.059352893,323,1.066702111
SJM,Normal,J,No,0.370810056,0.122396924,21,0.560893171
SJM,Normal,J,Yes,0.612572375,0.179837001,65,1.449892256
SJM,Wet,A,No,1,0,4,0
SJM,Wet,A,Yes,0.661183239,0.163340634,52,1.177866059
SJM,Wet,J,No,0,0,3,0
SJM,Wet,J,Yes,0,0,3,0
