"","spei","Pop","inv.cat","exposure","pred","DSR","DSR_SE","DSR_lower","DSR_upper","ns","ns_upper","ns_lower","NS_SE","Nnests"
"1","Normal","EAST","No",1,0.0269498225530921,0.973050177446908,0.00242506511515646,0.968297049821201,0.977803305072615,0.205042410445444,0.272011366088538,0.154347394357782,0.0258648041263577,74
"2","Drought","EAST","No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Wet","EAST","No",1,0.027388778812424,0.972611221187576,0.00621102982605506,0.960437602728508,0.984784839646644,0.199745956247132,0.410959044646221,0.0962079573519111,0.0528255096404191,NA
"4","Normal","EVER","No",1,0.0236887962790473,0.976311203720953,0.000839682683483151,0.974665425661326,0.97795698178058,0.248954419611428,0.274502047841187,0.225747273906753,0.0118403804615689,2140
"5","Drought","EVER","No",1,0.0142476265697588,0.985752373430241,0.00246099403694788,0.980928825117823,0.990575921742659,0.435045040344422,0.577418241297909,0.327321707789156,0.0549608839567681,NA
"6","Wet","EVER","No",1,0.016578098452828,0.983421901547172,0.00162840096475278,0.980230235656257,0.986613567438087,0.379238845138008,0.457647227711669,0.314072184392073,0.0332482962989467,222
"7","Normal","KRV","No",1,0.0336898548635178,0.966310145136482,0.00178731786412281,0.962807002122801,0.969813288150163,0.137012209773697,0.169009674111769,0.110987974080752,0.0132776712719106,156
"8","Drought","KRV","No",1,0.0228129666847503,0.97718703331525,0.00237282664205027,0.972536293096831,0.981837773533668,0.262244470503286,0.34538598444245,0.198855406521433,0.0323413591744149,18
"9","Wet","KRV","No",1,0.042134399965838,0.957865600034162,0.00651111089937336,0.94510382267139,0.970627377396934,0.0823503494085434,0.177438204797069,0.037827892516018,0.0227155392308803,3
"10","Normal","OKEE","No",1,0.0264534721955593,0.973546527804441,0.00166205141019198,0.970288907040464,0.976804148568417,0.211197759525237,0.2563508339924,0.173884889684567,0.0190371784901378,92
"11","Drought","OKEE","No",1,0.037457144063737,0.962542855936263,0.00588378780856076,0.951010631831484,0.974075080041042,0.109235638013857,0.217952123648269,0.0542939683560441,0.028031464111129,NA
"12","Wet","OKEE","No",1,0.0384084995742748,0.961591500425725,0.00298454596631018,0.955741790331757,0.967441210519693,0.103146791468064,0.146631011424097,0.0724024760886146,0.0156858751935968,47
"13","Normal","PP","No",1,0.0268557079087893,0.973144292091211,0.00231014821864518,0.968616401582666,0.977672182599755,0.206195840675901,0.269903796796441,0.157327805003577,0.0249326712613901,NA
"14","Drought","PP","No",1,0.0380234001396986,0.961976599860301,0.00678264306221842,0.948682619458353,0.975270580262249,0.105570228056274,0.234022260098214,0.0470993329052524,0.0298320893627662,NA
