"","spei","Pop","inv.cat","Yng_cnt","lower","upper","se","Nnests"
"1","Normal","EAST","No",1.65500169016679,1.41134109838988,1.8986622819437,0.124316628457607,5
"2","Drought","EAST","No",NA,NA,NA,NA,NA
"3","Wet","EAST","No",1.80207714782694,1.49638845430961,2.10776584134426,0.155963619141493,NA
"4","Normal","EVER","No",1.79796865292344,1.68904272095299,1.90689458489389,0.0555744550869661,474
"5","Drought","EVER","No",1.71594225691568,1.49015559630436,1.941728917527,0.115197275822101,NA
"6","Wet","EVER","No",1.95774919215701,1.76915324661669,2.14634513769734,0.0962224211940438,49
"7","Normal","KRV","No",1.85351755030484,1.68349477758987,2.02354032301981,0.0867463126096775,34
"8","Drought","KRV","No",1.76895691887146,1.50350570712088,2.03440813062204,0.13543429170948,8
"9","Wet","KRV","No",2.01823456758156,1.75646908206509,2.28000005309803,0.133553819141057,NA
"10","Normal","OKEE","No",1.82556344683051,1.64550203486963,2.0056248587914,0.0918680673269816,17
"11","Drought","OKEE","No",1.74227812926753,1.46200918852189,2.02254707001318,0.142994357523289,NA
"12","Wet","OKEE","No",1.98779625965814,1.74024671692967,2.23534580238662,0.126300787106364,16
"13","Normal","PP","No",2.17698678528931,1.89088459340184,2.46308897717678,0.145970506065035,NA
"14","Drought","PP","No",2.07766893574647,1.69079330939675,2.46454456209619,0.197385523647816,NA
"15","Wet","PP","No",2.37044962564101,1.98859980912683,2.7522994421552,0.194821334956217,NA
"16","Normal","SJM","No",1.81403887041603,1.60065931941709,2.02741842141497,0.108867117856601,23
"17","Drought","SJM","No",NA,NA,NA,NA,NA
"18","Wet","SJM","No",1.97524752576964,1.68922987171548,2.26126517982381,0.145927374517431,7
"19","Normal","EAST","Yes",1.69025532117778,1.4794851225859,1.90102551976965,0.107535815608101,125
"20","Drought","EAST","Yes",NA,NA,NA,NA,NA
"21","Wet","EAST","Yes",1.84046367226392,1.57062668679922,2.11030065772861,0.137671931359537,16
"22","Normal","EVER","Yes",1.83626766121817,1.70505597755809,1.96747934487826,0.0669447365612684,223
"23","Drought","EVER","Yes",1.75249399914102,1.5316700551182,1.97331794316383,0.112665277562661,59
"24","Wet","EVER","Yes",1.99945172819818,1.80392639593342,2.19497706046294,0.0997578225840605,88
"25","Normal","KRV","Yes",1.89299982043126,1.79434229659046,1.99165734427206,0.0503354713473481,672
"26","Drought","KRV","Yes",1.80663794050591,1.59327024821167,2.02000563280015,0.108861067497062,84
"27","Wet","KRV","Yes",2.06122551868565,1.85540134853336,2.26704968883795,0.105012331710353,16
"28","Normal","OKEE","Yes",1.86445025916678,1.74428800866181,1.98461250967174,0.0613072706657969,406
"29","Drought","OKEE","Yes",1.77939085891165,1.54446929614058,2.01431242168272,0.11985794018932,15
"30","Wet","OKEE","Yes",2.03013883627265,1.83989921357836,2.22037845896693,0.0970610319868809,83
"31","Normal","PP","Yes",2.22335935958962,1.99460121579973,2.45211750337951,0.116713338668311,160
"32","Drought","PP","Yes",2.12192591412842,1.78564642030811,2.45820540794873,0.171571170316484,NA
"33","Wet","PP","Yes",2.42094320333885,2.09514152820874,2.74674487846896,0.166225344454139,3
"34","Normal","SJM","Yes",1.8526801946861,1.6774329612706,2.0279274281016,0.0894118537834187,189
"35","Drought","SJM","Yes",NA,NA,NA,NA,NA
"36","Wet","SJM","Yes",2.0173227984673,1.77086382344004,2.26378177349457,0.12574437501391,17
