"","Pop","spei","inv.cat","year"
"1","EAST",NA,NA,1994
"2","EAST",NA,NA,1995
"3","EAST","Wet","No",1996
"4","EAST","Normal","No",1997
"5","EAST","Normal","No",1998
"6","EAST","Normal","No",1999
"7","EAST","Normal","No",2000
"8","EAST","Drought","No",2001
"9","EAST","Normal","No",2002
"10","EAST","Normal","No",2003
"11","EAST","Normal","No",2004
"12","EAST","Normal","No",2005
"13","EAST","Normal","No",2006
"14","EAST","Drought","No",2007
"15","EAST","Normal","No",2008
"16","EAST","Normal","No",2009
"17","EAST","Normal","No",2010
"18","EAST","Normal","No",2011
"19","EAST","Normal","No",2012
"20","EAST","Normal","No",2013
"21","EAST","Normal","Yes",2014
"22","EAST","Normal","Yes",2015
"23","EAST","Normal","Yes",2016
"24","EAST","Normal","Yes",2017
"25","EAST","Wet","Yes",2018
"26","EAST","Normal","Yes",2019
"27","EAST","Normal","Yes",2020
"28","EAST","Normal","Yes",2021
"29","EAST","Normal","Yes",2022
"30","EAST","Normal","Yes",2023
"31","EVER",NA,NA,1994
"32","EVER",NA,NA,1995
"33","EVER","Wet","No",1996
"34","EVER","Normal","No",1997
"35","EVER","Normal","No",1998
"36","EVER","Normal","No",1999
"37","EVER","Normal","No",2000
"38","EVER","Drought","No",2001
"39","EVER","Normal","No",2002
"40","EVER","Normal","No",2003
"41","EVER","Normal","No",2004
"42","EVER","Normal","No",2005
"43","EVER","Normal","No",2006
"44","EVER","Normal","No",2007
"45","EVER","Normal","No",2008
"46","EVER","Normal","No",2009
"47","EVER","Normal","Yes",2010
"48","EVER","Normal","Yes",2011
"49","EVER","Normal","Yes",2012
"50","EVER","Normal","Yes",2013
"51","EVER","Normal","Yes",2014
"52","EVER","Drought","Yes",2015
"53","EVER","Normal","Yes",2016
"54","EVER","Normal","Yes",2017
"55","EVER","Wet","Yes",2018
"56","EVER","Normal","Yes",2019
"57","EVER","Normal","Yes",2020
"58","EVER","Normal","Yes",2021
"59","EVER","Normal","Yes",2022
"60","EVER","Normal","Yes",2023
"61","KRV",NA,NA,1994
"62","KRV",NA,NA,1995
"63","KRV","Normal","No",1996
"64","KRV","Normal","No",1997
"65","KRV","Wet","No",1998
"66","KRV","Normal","No",1999
"67","KRV","Normal","No",2000
"68","KRV","Drought","No",2001
"69","KRV","Normal","No",2002
"70","KRV","Normal","No",2003
"71","KRV","Normal","No",2004
"72","KRV","Wet","Yes",2005
"73","KRV","Normal","Yes",2006
"74","KRV","Drought","Yes",2007
"75","KRV","Drought","Yes",2008
"76","KRV","Normal","Yes",2009
"77","KRV","Normal","Yes",2010
"78","KRV","Normal","Yes",2011
"79","KRV","Normal","Yes",2012
"80","KRV","Normal","Yes",2013
"81","KRV","Normal","Yes",2014
"82","KRV","Normal","Yes",2015
"83","KRV","Normal","Yes",2016
"84","KRV","Normal","Yes",2017
"85","KRV","Normal","Yes",2018
"86","KRV","Normal","Yes",2019
"87","KRV","Normal","Yes",2020
"88","KRV","Normal","Yes",2021
"89","KRV","Normal","Yes",2022
"90","KRV","Normal","Yes",2023
"91","OKEE",NA,NA,1994
"92","OKEE",NA,NA,1995
"93","OKEE","Wet","No",1996
"94","OKEE","Normal","No",1997
"95","OKEE","Normal","No",1998
"96","OKEE","Normal","No",1999
"97","OKEE","Normal","No",2000
"98","OKEE","Drought","No",2001
"99","OKEE","Normal","No",2002
"100","OKEE","Normal","No",2003
"101","OKEE","Normal","No",2004
"102","OKEE","Normal","No",2005
"103","OKEE","Normal","No",2006
"104","OKEE","Drought","No",2007
"105","OKEE","Normal","No",2008
"106","OKEE","Normal","Yes",2009
"107","OKEE","Normal","Yes",2010
"108","OKEE","Normal","Yes",2011
"109","OKEE","Drought","Yes",2012
"110","OKEE","Normal","Yes",2013
"111","OKEE","Normal","Yes",2014
"112","OKEE","Normal","Yes",2015
"113","OKEE","Normal","Yes",2016
"114","OKEE","Normal","Yes",2017
"115","OKEE","Normal","Yes",2018
"116","OKEE","Normal","Yes",2019
"117","OKEE","Normal","Yes",2020
"118","OKEE","Wet","Yes",2021
"119","OKEE","Normal","Yes",2022
"120","OKEE","Normal","Yes",2023
"121","PP",NA,NA,1994
"122","PP",NA,NA,1995
"123","PP","Normal","No",1996
"124","PP","Normal","No",1997
"125","PP","Normal","No",1998
"126","PP","Normal","No",1999
"127","PP","Drought","No",2000
