,Year,EAST,EVER,KRV,OKEE,PP,SJM,PopSize
1,1996,NA,NA,NA,NA,NA,NA,NA
27,1997,NA,245,34,76,NA,44,3145
28,1998,NA,404,69,51,NA,46,3136
2,1999,NA,413,131,63,NA,70,3577
3,2000,NA,403,126,41,NA,47,2772
4,2001,NA,318,187,NA,NA,53,2027
5,2002,20,335,130,8,NA,50,1406
6,2003,6,262,86,NA,NA,40,1162
7,2004,36,324,41,33,NA,73,1497
8,2005,57,373,84,72,NA,48,1566
9,2006,73,454,80,59,NA,84,1648
10,2007,58,335,171,NA,NA,NA,1204
11,2008,NA,118,250,NA,NA,NA,685
12,2009,6,153,264,NA,NA,27,662
13,2010,20,161,235,22,NA,32,826
14,2011,21,216,290,89,NA,21,925
15,2012,15,139,409,159,NA,29,1218
16,2013,NA,167,423,243,NA,9,1198
17,2014,17,321,357,300,NA,NA,1754
18,2015,29,372,493,359,NA,108,2127
19,2016,24,223,672,259,NA,219,2056
20,2017,34,167,867,431,NA,70,2585
21,2018,59,364,486,296,NA,105,2347
22,2019,94,335,771,327,74,218,3115
23,2020,51,65,813,71,191,138,2559
24,2021,206,122,520,521,18,86,3171
25,2022,168,55,466,439,172,62,2863
26,2023,NA,10,397,510,282,73,2820
