"","MU","spei_cat","mean","se","n","sd"
"1","EAST","Drought",NA,NA,NA,NA
"2","EAST","Normal",1.38360454189523,0.0701302727753006,37,0.426585795477192
"3","EAST","Wet",1.14937952258854,0.0546970400582259,8,0.154706591744015
"4","EVER","Drought",1.16388193380869,0.0443835170246219,27,0.23062351951573
"5","EVER","Normal",1.34966427780511,0.0324834648201542,141,0.385719773446773
"6","EVER","Wet",1.47533279314269,0.0626864421437806,41,0.401389077049274
"7","KRV","Drought",1.47351745963247,0.0723088918232269,65,0.582972923372693
"8","KRV","Normal",1.4298862604939,0.0168829100881561,1234,0.593068540606594
"9","KRV","Wet",1.40402057035998,0.211275738563923,5,0.472426913425406
"10","OKEE","Drought",1.385664,0.051350666272501,25,0.256753331362505
"11","OKEE","Normal",1.40926466991286,0.0203669908547505,252,0.32331595653838
"12","OKEE","Wet",1.33574198537741,0.066278613847165,40,0.419182759831633
"13","PP","Drought",NA,NA,NA,NA
"14","PP","Normal",1.76195862068966,0.0902858965678697,87,0.842130780436491
"15","PP","Wet",NA,NA,NA,NA
"16","SJM","Drought",NA,NA,NA,NA
"17","SJM","Normal",1.61897770568341,0.057291468717468,106,0.589851772148977
"18","SJM","Wet",1.41254960744081,0.0596676558124108,22,0.279866113174252
