"","Year","Pop","FateInt","exposure","TSI","invaded"
"1",1996,"EVER",0,14,-1,0
"2",1996,"EVER",0,14,-1,0
"3",1996,"EVER",0,16,-1,0
"4",1996,"EVER",0,16,-1,0
"5",1996,"EVER",0,23,-1,0
"6",1996,"EVER",0,12,-1,0
"7",1996,"EVER",1,20,-1,0
"8",1996,"EVER",0,6,-1,0
"9",1996,"EVER",0,5,-1,0
"10",1996,"EVER",0,8,-1,0
"11",1996,"EVER",0,6,-1,0
"12",1996,"EVER",0,18,-1,0
"13",1996,"EVER",0,13,-1,0
"14",1996,"EVER",0,6,-1,0
"15",1996,"EVER",0,13,-1,0
"16",1996,"EVER",1,17,-1,0
"17",1996,"EVER",0,13,-1,0
"18",1996,"EVER",1,6,-1,0
"19",1996,"EVER",0,5,-1,0
"20",1996,"EVER",0,8,-1,0
"21",1996,"EVER",0,11,-1,0
"22",1996,"EVER",0,8,-1,0
"23",1996,"EVER",0,13,-1,0
"24",1996,"EVER",0,18,-1,0
"25",1996,"EVER",0,13,-1,0
"26",1996,"EVER",0,6,-1,0
"27",1996,"EVER",0,13,-1,0
"28",1996,"EVER",1,18,-1,0
"29",1996,"EVER",0,14,-1,0
"30",1996,"EVER",0,18,-1,0
"31",1996,"EVER",0,13,-1,0
"32",1996,"EVER",0,6,-1,0
"33",1996,"EVER",1,5,-1,0
"34",1996,"EVER",0,12,-1,0
"35",1996,"EVER",0,6,-1,0
"36",1996,"EVER",0,5,-1,0
"37",1996,"EVER",1,12,-1,0
"38",1996,"EVER",0,12,-1,0
"39",1996,"EVER",0,6,-1,0
"40",1996,"EVER",0,5,-1,0
"41",1996,"EVER",0,12,-1,0
"42",1996,"EVER",1,18,-1,0
"43",1996,"EVER",0,15,-1,0
"44",1996,"EVER",0,18,-1,0
"45",1996,"EVER",0,5,-1,0
"46",1996,"EVER",0,15,-1,0
"47",1996,"EVER",0,18,-1,0
"48",1996,"EVER",0,13,-1,0
"49",1996,"EVER",0,6,-1,0
"50",1996,"EVER",0,15,-1,0
"51",1996,"EVER",0,16,-1,0
"52",1996,"EVER",1,18,-1,0
"53",1996,"EVER",0,15,-1,0
"54",1996,"EVER",0,17,-1,0
"55",1996,"EVER",0,12,-1,0
"56",1996,"EVER",0,18,-1,0
"57",1996,"EVER",1,13,-1,0
"58",1996,"EVER",0,23,-1,0
"59",1996,"EVER",1,23,-1,0
"60",1996,"EVER",0,18,-1,0
"61",1996,"EVER",0,13,-1,0
"62",1996,"EVER",0,14,-1,0
"63",1996,"EVER",1,15,-1,0
"64",1996,"EVER",0,16,-1,0
"65",1996,"EVER",1,13,-1,0
"66",1996,"EVER",0,12,-1,0
"67",1996,"EVER",0,21,-1,0
"68",1996,"EVER",1,10,-1,0
"69",1996,"EVER",0,18,-1,0
"70",1996,"EVER",0,12,-1,0
"71",1996,"EVER",1,6,-1,0
