Area,Area2,region,region2,Region_Cattau2016,Region_CattauUSGS,Region_Poli,Inv_Cat,Inv_Year,MU,NestDect
Loxahatchee National Wildlife Refuge,LOX(1A),EVER,EVER,EVER,EVER,EVER,HISTORIC,2012,EVER,0.49
WCA 3A,3A,EVER,EVER,EVER,EVER,EVER,HISTORIC,2012,EVER,0.49
Big Cypress,BICY,EVER,EVER,EVER,EVER,EVER,HISTORIC,NotEstablished,EVER,0.49
Everglades National Park,ENP,EVER,EVER,EVER,EVER,EVER,HISTORIC,NotEstablished,EVER,0.49
WCA 2B,2B,EVER,EVER,EVER,EVER,EVER,HISTORIC,NotEstablished,EVER,0.49
WCA 3B,3B,EVER,EVER,EVER,EVER,EVER,HISTORIC,NotEstablished,EVER,0.49
Lake Tohopekaliga,TOHO,KRV,KRV_H,KRV,KRV,KRV,HISTORIC,2005,KRV,0.62
East Lake Tohopekaliga,ETOHO,KRV,KRV_H,KRV,KRV,KRV,HISTORIC,2009,KRV,0.62
Lake Istokpoga,Istokpoga,KRV,KRV_H,KRV,KRV,KRV,HISTORIC,2009,KRV,0.62
Lake Kissimmee,KISS,KRV,KRV_H,KRV,KRV,KRV,HISTORIC,2009,KRV,0.62
Lake Hatchineha,LakeHatchineha,KRV,KRV_N,KRV,KRV,KRV,NOVEL,2009,KRV,0.62
Lake Jackson,LakeJackson,KRV,KRV_N,KRV,KRV,KRV,NOVEL,2009,KRV,0.62
Lake Runnymede,LakeRunnymeade,KRV,KRV_N,NA,NA,KRV,NOVEL,2009,KRV,0.62
Kissimmee Restoration Area,KRA,KRV,KRV_N,NA,NA,KRV,NOVEL,2016,KRV,0.49
Lake Parker,LakeParker,KRV,KRV_N,NA,NA,KRV,NOVEL,2018,KRV,0.62
Lake Okeechobee,OKEE,OKEE,OKEE,OKEE,OKEE,OKEE,HISTORIC,2009,OKEE,0.5
Grassy Waters Preserve,GW,EAST,EAST_H,MARGINAL,NA,EVER,HISTORIC,2015,EAST,0.49
Hungryland,HungryLand,EAST,EAST_H,NA,NA,EVER,HISTORIC,2015,EAST,0.49
St. Johns Marsh,SJM,EAST,EAST_H,MARGINAL,SJM,SJM,HISTORIC,2015,SJM,0.49
Mary A. Mitigation Bank,MARYA,EAST,EAST_N,NA,NA,SJM,NOVEL,2015,SJM,0.49
Ten Mile Creek,TenMileCreek,EAST,EAST_N,NA,NA,SJM,NOVEL,2016,EAST,0.83
C-23 Reservoir,C-23Reservoir,EAST,EAST_N,NA,NA,NA,NOVEL,2018,EAST,0.83
STA5,STA5,STA,STA,NA,STA,STA,NOVEL,2010,EVER,0.83
STA1,STA1,STA,STA,NA,STA,STA,NOVEL,2012,EVER,0.83
Rotenberger Wildlife Management Area,RotenbergerWMA,STA,STA,NA,NA,STA,NOVEL,2017,EVER,0.49
Paynes Prairie,Paynes Prairie,NA,NA,NA,NA,NA,NOVEL,2018,PP,0.5
STA2,STA2,NA,NA,NA,NA,NA,NOVEL,2012,EVER,0.83
STA3,STA3,NA,NA,NA,NA,NA,NOVEL,2012,EVER,0.83
Lake Marian,Lake Marian,NA,NA,NA,NA,NA,NOVEL,2009,KRV,0.62
Lake Side Ranch STA,Lake Side Ranch STA,NA,NA,NA,NA,NA,NOVEL,NA,KRV,0.62
Lake Smart,Lake Smart,NA,NA,NA,NA,NA,NOVEL,NA,OKEE,0.62
