"","AGE","stratum","invaded","drought","estimate","lcl","ucl","se"
"1","Juvenile","PP","No","No",0.421647155536563,0.358567641032182,0.487391627597665,0.032184017156409
"2","Adult","PP","No","No",0.837647055253026,0.796747850562523,0.871642214138373,0.0208673246106103
"3","Juvenile","KRV","No","No",0.493927848541669,0.45077422805441,0.537172134643292,0.0220175578876191
"4","Adult","KRV","No","No",0.873531364620092,0.853558450104851,0.89112766563209,0.0101904497596814
"5","Juvenile","OKEE","No","No",0.354993182830109,0.31313120380404,0.399199032251744,0.0213585450325981
"6","Adult","OKEE","No","No",0.795707229249385,0.763202346419242,0.824774630031052,0.0165844286356982
"7","Juvenile","SJM","No","No",0.562561958471206,0.506109416506053,0.617439320573253,0.0288028465882248
"8","Adult","SJM","No","No",0.90100181005832,0.879614605934885,0.918939593239444,0.0109120393497711
"9","Juvenile","EVER","No","No",0.513948479886101,0.483684535032758,0.544110485652315,0.0154410719238015
"10","Adult","EVER","No","No",0.882118643694279,0.869110693047954,0.89399152807334,0.00663683146676676
"11","Juvenile","EAST","No","No",0.312120574297285,0.250589202224366,0.381077886185505,0.0313941340546411
"12","Adult","EAST","No","No",0.762532706695652,0.706165598614446,0.810981075458196,0.0287592570709577
"13","Juvenile","PP","Yes","No",0.455305243273462,0.400799009475704,0.510903772727709,0.0278098139698972
"14","Adult","PP","Yes","No",0.855398035027793,0.823425956955729,0.882407702678405,0.0163125844782127
"15","Juvenile","KRV","Yes","No",0.52808739966042,0.502675223914034,0.55335483918351,0.0129656340355406
"16","Adult","KRV","Yes","No",0.887884044374634,0.87695715193976,0.897953484038625,0.00557504756264114
"17","Juvenile","OKEE","Yes","No",0.38688986960497,0.357358899231883,0.417276631113608,0.0150670984803922
"18","Adult","OKEE","Yes","No",0.817042167000328,0.795940573133975,0.836410151539985,0.0107663171531724
"19","Juvenile","SJM","Yes","No",0.595879171394344,0.550322669863777,0.639840860665237,0.0232435401313039
"20","Adult","SJM","Yes","No",0.912549028239195,0.896843076038935,0.926060848026844,0.00801338816638777
"21","Juvenile","EVER","Yes","No",0.547993335206441,0.511061972515375,0.584403611047327,0.0188428782275473
"22","Adult","EVER","Yes","No",0.895613228732759,0.88036517944653,0.90911846317191,0.00777975993768419
"23","Juvenile","EAST","Yes","No",0.342208862726014,0.284303965460277,0.405229794263462,0.0295438578068187
"24","Adult","EAST","Yes","No",0.786402156498146,0.740281436222663,0.826255004175953,0.0235314121276094
"25","Juvenile","PP","No","Yes",0.421647155536563,0.358567641032182,0.487391627597665,0.032184017156409
"26","Adult","PP","No","Yes",0.837647055253026,0.796747850562523,0.871642214138373,0.0208673246106103
"27","Juvenile","KRV","No","Yes",0.519569847685445,0.44076354575004,0.597414245999781,0.0402080357379107
"28","Adult","KRV","No","Yes",0.88443939690562,0.846894658349202,0.913715373657391,0.0191558308482027
"29","Juvenile","OKEE","No","Yes",0.706949067909755,0.512946256530646,0.846762052097443,0.0989828450468368
"30","Adult","OKEE","No","Yes",0.944666408868326,0.881383497027895,0.975139641993197,0.0322877932143644
"31","Juvenile","SJM","No","Yes",0.283372762621715,0.0705899041625222,0.673064386620907,0.108564677788774
"32","Adult","SJM","No","Yes",0.736731075799161,0.351402874131667,0.935291895252749,0.196599633823332
"33","Juvenile","EVER","No","Yes",0.517147647417947,0.404190035387624,0.628379617193766,0.0576324937199454
"34","Adult","EVER","No","Yes",0.883444096661076,0.828193948658923,0.922587422262001,0.0281893690077772
"35","Juvenile","EAST","No","Yes",0.363206519462587,0.0570014620932173,0.843306685987689,0.156229940848238
"36","Adult","EAST","No","Yes",0.801447465160839,0.300871607902173,0.97426627305285,0.255400538584966
"37","Juvenile","PP","Yes","Yes",0.455305243273462,0.400799009475704,0.510903772727709,0.0278098139698972
"38","Adult","PP","Yes","Yes",0.855398035027793,0.823425956955729,0.882407702678405,0.0163125844782127
"39","Juvenile","KRV","Yes","Yes",0.553562981743739,0.48054146174107,0.624344050553955,0.037256562150455
"40","Adult","KRV","Yes","Yes",0.897699121707395,0.866086111639148,0.922516913012722,0.016129383150714
"41","Juvenile","OKEE","Yes","Yes",0.734459990863359,0.549493326922972,0.862488736512228,0.0943724810248457
"42","Adult","OKEE","Yes","Yes",0.951395304168824,0.895781212367795,0.978059048355975,0.0283750580315283
"43","Juvenile","SJM","Yes","Yes",0.311946520989431,0.077518332561097,0.709814531067276,0.119608416418604
"44","Adult","SJM","Yes","Yes",0.762385858556005,0.374603601479756,0.945014288253013,0.197851725916918
"45","Juvenile","EVER","Yes","Yes",0.551164113641262,0.44411406316097,0.653674920693888,0.0546183763195088
"46","Adult","EVER","Yes","Yes",0.896804699701457,0.849975879125459,0.930216367108554,0.0238926944297843
"47","Juvenile","EAST","Yes","Yes",0.395388805313967,0.0630531273653604,0.864035134054441,0.169562135105557
"48","Adult","EAST","Yes","Yes",0.82231679518729,0.323809659352417,0.978130833887342,0.254345049075919
