"","Nest","Year","Pop","Fledglings","TSI","invaded"
"1",1,1996,"EVER",2,-1,0
"2",2,1996,"EVER",2,-1,0
"3",3,1996,"EVER",1,-1,0
"4",4,1996,"EVER",2,-1,0
"5",5,1996,"EVER",2,-1,0
"6",6,1996,"EVER",2,-1,0
"7",7,1996,"EVER",1,-1,0
"8",8,1996,"EVER",1,-1,0
"9",9,1996,"EVER",1,-1,0
"10",10,1996,"EVER",1,-1,0
"11",11,1996,"EVER",2,-1,0
"12",12,1996,"EVER",1,-1,0
"13",13,1996,"EVER",2,-1,0
"14",14,1996,"EVER",2,-1,0
"15",15,1996,"EVER",2,-1,0
"16",16,1996,"EVER",2,-1,0
"17",17,1996,"EVER",2,-1,0
"18",18,1996,"EVER",2,-1,0
"19",19,1996,"EVER",1,-1,0
"20",20,1996,"EVER",2,-1,0
"21",21,1996,"EVER",2,-1,0
"22",22,1996,"EVER",1,-1,0
"23",23,1996,"EVER",2,-1,0
"24",24,1996,"EVER",2,-1,0
"25",25,1996,"EVER",3,-1,0
"26",26,1996,"EVER",1,-1,0
"27",27,1996,"EVER",1,-1,0
"28",28,1996,"EVER",3,-1,0
"29",29,1996,"EVER",3,-1,0
"30",30,1996,"EVER",2,-1,0
"31",31,1996,"EVER",2,-1,0
"32",32,1996,"EVER",2,-1,0
"33",33,1996,"EVER",1,-1,0
"34",34,1996,"EVER",2,-1,0
"35",35,1996,"EVER",2,-1,0
"36",36,1996,"EVER",3,-1,0
"37",37,1996,"EVER",2,-1,0
"38",38,1996,"EVER",2,-1,0
"39",39,1996,"EVER",3,-1,0
"40",40,1996,"EVER",1,-1,0
"41",41,1996,"EVER",2,-1,0
"42",42,1996,"EVER",2,-1,0
"43",43,1996,"EVER",2,-1,0
"44",44,1996,"EVER",2,-1,0
"45",45,1996,"EVER",2,-1,0
"46",46,1996,"EVER",1,-1,0
"47",47,1996,"EVER",2,-1,0
"48",48,1996,"EVER",1,-1,0
"49",49,1996,"EVER",2,-1,0
"50",50,1996,"KRV",3,-1,0
"51",51,1996,"KRV",2,-1,0
"52",52,1996,"KRV",1,-1,0
"53",53,1996,"KRV",1,-1,0
"54",54,1996,"OKEE",1,-1,0
"55",55,1996,"OKEE",2,-1,0
"56",56,1996,"OKEE",1,-1,0
"57",57,1996,"OKEE",2,-1,0
"58",58,1996,"OKEE",1,-1,0
"59",59,1996,"OKEE",2,-1,0
"60",60,1996,"OKEE",3,-1,0
"61",61,1996,"OKEE",3,-1,0
"62",62,1996,"OKEE",2,-1,0
"63",63,1996,"OKEE",2,-1,0
"64",64,1996,"OKEE",2,-1,0
"65",65,1996,"OKEE",2,-1,0
"66",66,1996,"OKEE",3,-1,0
"67",67,1996,"OKEE",3,-1,0
"68",68,1996,"OKEE",1,-1,0
"69",69,1996,"OKEE",1,-1,0
"70",70,1996,"SJM",1,-1,0
"71",71,1996,"SJM",2,-1,0
"72",72,1996,"SJM",2,-1,0
"73",73,1996,"SJM",2,-1,0
"74",74,1996,"SJM",3,-1,0
"75",75,1996,"SJM",2,-1,0
"76",76,1996,"SJM",3,-1,0
"77",77,1997,"EVER",2,-1,0
"78",78,1997,"EVER",1,-1,0
"79",79,1997,"EVER",3,-1,0
"80",80,1997,"EVER",3,-1,0
"81",81,1997,"EVER",2,-1,0
"82",82,1997,"EVER",1,-1,0
"83",83,1997,"EVER",2,-1,0
"84",84,1997,"EVER",2,-1,0
"85",85,1997,"EVER",1,-1,0
"86",86,1997,"EVER",1,-1,0
"87",87,1997,"EVER",2,-1,0
"88",88,1997,"EVER",2,-1,0
"89",89,1997,"EVER",1,-1,0
"90",90,1997,"EVER",1,-1,0
"91",91,1997,"EVER",1,-1,0
"92",92,1997,"EVER",1,-1,0
"93",93,1997,"EVER",2,-1,0
"94",94,1997,"EVER",2,-1,0
"95",95,1997,"EVER",2,-1,0
"96",96,1997,"EVER",2,-1,0
"97",97,1997,"EVER",3,-1,0
"98",98,1997,"EVER",4,-1,0
"99",99,1997,"EVER",3,-1,0
"100",100,1997,"EVER",2,-1,0
"101",101,1997,"EVER",3,-1,0
"102",102,1997,"EVER",3,-1,0
"103",103,1997,"EVER",1,-1,0
"104",104,1997,"EVER",1,-1,0
"105",105,1997,"EVER",1,-1,0
"106",106,1997,"EVER",3,-1,0
"107",107,1997,"EVER",4,-1,0
"108",108,1997,"EVER",3,-1,0
"109",109,1997,"EVER",3,-1,0
"110",110,1997,"EVER",2,-1,0
